11:57 AM,Port,ticker,shares,price
2/2/2026,US_live_port,CALY,9547,14.33
2/2/2026,US_live_port,OMCL,154,48.7
2/2/2026,US_live_port,MOH,1007,181.18
2/2/2026,US_live_port,BGS,-6282,4.46
2/2/2026,US_live_port,JXN,-3378,122.21
2/2/2026,US_live_port,GTLB,-1144,35.35
2/2/2026,US_live_port,MAR,-337,319.29
2/2/2026,US_live_port,ILMN,-1003,141.13
2/2/2026,US_live_port,EGY,-319,4.97
2/2/2026,US_live_port,NNN,538,41.45
2/2/2026,US_live_port,TROX,6450,6.36
2/2/2026,US_live_port,PLXS,830,204.96
2/2/2026,US_live_port,SM,-4083,18.93
2/2/2026,US_live_port,SLGN,6290,43.19
2/2/2026,US_live_port,HAE,11,65.78
2/2/2026,US_live_port,TXRH,-3107,182.6
2/2/2026,US_live_port,WD,-100,62.5
2/2/2026,US_live_port,PR,-5730,15.74
2/2/2026,US_live_port,CYD,1349,46.05
2/2/2026,US_live_port,KRO,5334,5.47
2/2/2026,US_live_port,TEX,-1389,58.99
2/2/2026,US_live_port,PTCT,557,74.88
2/2/2026,US_live_port,MWA,-791,27.91
2/2/2026,US_live_port,RMD,-1772,254.74
2/2/2026,US_live_port,CC,-8965,15.58
2/2/2026,US_live_port,HIMS,-417,26.44
2/2/2026,US_live_port,VSAT,-2618,43.75
2/2/2026,US_live_port,ACI,-3245,16.86
2/2/2026,US_live_port,MNKD,-7201,6.01
2/2/2026,US_live_port,CNM,942,54.6
2/2/2026,US_live_port,BHVN,22871,11.75
2/2/2026,US_live_port,AMBA,-2317,62.88
2/2/2026,US_live_port,BPOP,702,136.69
2/2/2026,US_live_port,RLJ,-2604,7.45
2/2/2026,US_live_port,SPB,7,65.63
2/2/2026,US_live_port,CTO,858,17.77
2/2/2026,US_live_port,BKNG,1,204.89
2/2/2026,US_live_port,TNET,-887,62.59
2/2/2026,US_live_port,EQR,5219,61.61
2/2/2026,US_live_port,CRWD,-540,109.7125
2/2/2026,US_live_port,SLNO,-48,42.32
2/2/2026,US_live_port,DXC,-4256,15.28
2/2/2026,US_live_port,CPF,301,32.98
2/2/2026,US_live_port,ADNT,4789,20.95
2/2/2026,US_live_port,SPNT,2502,20.44
2/2/2026,US_live_port,MEDP,-55,588.17
2/2/2026,US_live_port,IESC,-367,401.22
2/2/2026,US_live_port,MGRC,-786,115.44
2/2/2026,US_live_port,ZTS,2112,124.94
2/2/2026,US_live_port,IMAX,3888,35.13
2/2/2026,US_live_port,SFNC,18593,20.58
2/2/2026,US_live_port,ATRC,1204,36.82
2/2/2026,US_live_port,EQBK,2461,47.13
2/2/2026,US_live_port,NN,-253,14.8
2/2/2026,US_live_port,AWK,-16,126.57
2/2/2026,US_live_port,AROC,18361,29.5
2/2/2026,US_live_port,PODD,790,256.62
2/2/2026,US_live_port,REPL,15862,6.975
2/2/2026,US_live_port,ASIX,-20695,16.42
2/2/2026,US_live_port,HOV,570,111.66
2/2/2026,US_live_port,COIN,-836,187.86
2/2/2026,US_live_port,HCSG,3041,19.23
2/2/2026,US_live_port,COLB,-4759,29.69
2/2/2026,US_live_port,UTHR,824,475
2/2/2026,US_live_port,HTZ,-124,4.96
2/2/2026,US_live_port,XNCR,2059,12.11
2/2/2026,US_live_port,ACLX,3192,69.47
2/2/2026,US_live_port,LAND,-56,10.78
2/2/2026,US_live_port,FELE,-394,102.07
2/2/2026,US_live_port,BSY,-6556,34.24
2/2/2026,US_live_port,AX,1043,98.42
2/2/2026,US_live_port,DCI,-982,101.17
2/2/2026,US_live_port,AEIS,419,261.82
2/2/2026,US_live_port,GOLF,-1439,98.19
2/2/2026,US_live_port,ICLR,-544,178.59
2/2/2026,US_live_port,MPWR,-490,1173.22
