ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
MPWR,-0.002468306676046517,2.1865959484914814,-0.00539718937747779,0.00019882279247938347,0.01718257455382365
WWW,-0.001010979211295989,1.7740229886813192,-0.0017935003619179931,0.00017344923544218108,0.014989752342393161
CAH,0.0023746503787824428,0.34573123494412783,0.0008209908080169949,0.00016617391166632632,0.014361007561058332
IQV,-0.0022849343704762644,1.0507990934594291,-0.0024010069651107502,0.00016294973892163256,0.014082369544414181
LITE,0.0013887405241181053,2.301197945519835,0.003195766840960723,0.0001573212707921732,0.013595948586071169
W,-0.001087020102106356,2.493426567054089,-0.0027104048015138367,0.0001478373107505246,0.012776330028012694
POOL,-0.001344834507157551,0.7136749560511947,-0.0009597747077917953,0.0001338473753514134,0.011567298080514366
PM,0.0021836044697511148,0.10071341523121043,0.00021991826366277108,0.00013162677311364927,0.011375390185906529
TTEK,-0.0014664843486573208,0.4920730811761763,-0.0007216174719404458,0.0001274216608367478,0.01101197785121381
HRI,-0.0011640348143774862,1.6370228455345293,-0.0019055515841334902,0.0001263751974758073,0.010921540862109204
MAN,-0.0011490637213524373,0.9558266990530908,-0.0010983057837819607,0.00012545984147593718,0.010842434374794934
PHM,-0.0013266029262782126,0.7471223414005921,-0.0009911346843898552,0.0001241535293965921,0.010729540855827613
FOR,-0.0011691389714694777,0.8048735190691753,-0.0009410089982475546,0.0001222272548851729,0.0105630692205043
UHS,0.0017198901538882235,0.6691318603998941,0.0011508332983546873,0.00012184697097984987,0.010530204494718347
RKT,-0.0010423831324734285,0.7252921322376268,-0.0007560322847601895,0.00012084550548245815,0.010443656290875975
CCS,-0.0010532202148733542,0.6968115063351294,-0.0007338959644285107,0.00011695582703968196,0.010107504238085888
TW,0.001798771279451062,0.4297267092027015,0.0007729800625268378,0.00011623790132466997,0.010045459982653855
WSM,-0.0014864548678214014,1.3976216097907366,-0.0020775014452458235,0.00011394869233478264,0.009847622985961934
CRS,0.0012585266014570298,1.479959957285499,0.00186256897533501,0.00011263422414908917,0.009734024603615256
CRL,-0.0010171280483468406,1.3983472701081567,-0.0014222982297562418,0.00011238200937901636,0.009712227811425039
ALNY,0.001646497977231639,0.887506085610491,0.0014612769747384432,0.00011200373282338337,0.00967953656391728
EQT,0.001340257400450011,0.7456924194069372,0.000999419783569621,0.00010975630301347131,0.009485310188853647
ALGN,-0.0015457241958802144,1.2534930935552446,-0.001937554604077083,0.00010864189313373974,0.00938900115605505
ORCL,-0.0014376629099401082,1.3876209666675234,-0.0019949311968331376,0.00010499228612396137,0.009073596449403138
BXP,-0.0018838738285884796,0.9057917519803896,-0.0017063973757071632,0.00010469227488098357,0.009047669011783097
FLS,0.0023233017989200445,1.4953982659831264,0.0034742614814605127,0.00010363253254488829,0.00895608443301963
IEX,-0.001990555200318653,0.8854166305367952,-0.001762470678363637,9.69759829151976e-05,0.008380815074526702
TMO,-0.0017833217019513456,0.8906045727210827,-0.0015882344623906121,9.472261565258862e-05,0.008186075575578466
MAS,-0.0013863124033003794,0.9911455856445607,-0.001374037418855473,9.431835202534384e-05,0.00815113848497678
SMR,-0.001292873101278586,2.248676291174616,-0.0029072530903425545,9.40698202031095e-05,0.00812965997885942
FERG,-0.001664441972513393,0.9597238519893015,-0.0015974046612732247,9.279361778809746e-05,0.00801936858385254
AVTR,-0.0005563068505211507,1.1652495132528518,-0.0006482362867889978,9.187641473891289e-05,0.007940102471667529
NXPI,-0.002027881161639436,1.805919983291518,-0.003662191113545074,8.98201238144506e-05,0.007762394615976949
RVTY,-0.0012010282144547537,1.1488262401703668,-0.0013797727279505837,8.974037913689074e-05,0.007755502957076298
LII,-0.0011334838951017382,1.008507249317697,-0.001143126725194963,8.892366977587348e-05,0.007684921665517686
BMRN,0.0018683532148514005,0.7379610888464506,0.001378771972781506,8.866668965923132e-05,0.007662713044675022
