ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
SMR,-0.0013668492941383112,2.4009136433401825,-0.0032816871186865694,0.00018916850414859134,0.01625515830556559
POOL,-0.0018418484706031106,0.7495844067873759,-0.0013806208932292683,0.00018574119073359,0.015960650917169295
MPWR,-0.0020126411969425494,2.244270088872522,-0.004516910437930754,0.00018073980733095298,0.015530884454075449
IQV,-0.0022334354507001046,1.0933291363154136,-0.002441880052330172,0.00017609988154737815,0.015132177869818486
HRI,-0.0013226378408556832,1.7553457979609282,-0.0023216867761701385,0.00017078513411075783,0.014675484186452984
WWW,-0.0011016954535334887,1.808710021853396,-0.0019926476078363435,0.000165439940323032,0.014216174262824474
ALGN,-0.001720634368829453,1.3239809166433774,-0.0022780870688509183,0.00016391060470546007,0.0140847591909664
CRL,-0.0014154345504711968,1.421199735979016,-0.002011615209425242,0.0001625712761598417,0.013969671335140842
FERG,-0.0022752448224995364,1.001330587746078,-0.002278272235379682,0.0001456657781819029,0.01251699004920141
KTOS,-0.0013013604529227589,1.1242677266232501,-0.0014630775579248733,0.0001425319246621337,0.012247699528035751
WSM,-0.0017515641868607798,1.457063336835742,-0.002552139958789351,0.00014251165916145562,0.012245958123338674
DHI,-0.0012633968434397698,0.6281662604674995,-0.000793623270630003,0.00014222656380813206,0.01222146001715914
CAH,0.0021761969436370145,0.34421449250699776,0.0007490785265492945,0.0001410470856140754,0.012120108024930593
UHS,0.001944966898588099,0.6780264166892139,0.0013187389368288225,0.00013278614188337628,0.011410249115276137
RVTY,-0.0015345804255233243,1.1928940449209793,-0.001830591851059076,0.00013203155606489954,0.011345407919910764
TW,0.0018761446154932629,0.4374807581674427,0.0008207771688177579,0.00013014556333122872,0.01118334547411966
MTH,-0.0011454858178441634,0.8925540063747075,-0.0010224079559622164,0.0001297526327285782,0.011149581136985776
FOR,-0.0012214452163917563,0.8474748569349362,-0.001035144110015466,0.00012698194953160102,0.01091149766646228
MUR,-0.0011264635534930074,1.6101054287917527,-0.0018137250828151401,0.00012685756039986293,0.010900808968378025
PM,0.0020704315939074577,0.09545673383111568,0.00019763663757515676,0.00012354246977001732,0.010615944829773277
PFSI,-0.0015848687139938956,0.6883171481709983,-0.0010908923134417157,0.00012099135156316943,0.010396728472932236
LITE,0.001216173744094013,2.376386682159458,0.002890099088657017,0.00012029003959964854,0.010336465074223622
WMS,-0.0011056830344236062,1.1428970311849493,-0.0012636818574743058,0.00011632136913149829,0.009995439135403848
EQT,0.0014055122216898302,0.7621138858273546,0.0010711603808498747,0.00011140841597361343,0.009573271440582324
CAMT,-0.0012826726815504403,1.9546355026144036,-0.00250715756159211,0.00010975013311518714,0.00943077599452249
NOC,-0.0022671942839122606,0.07945614018411921,-0.00018014250684716637,0.00010961808093926184,0.00941942881474792
LHX,-0.002276804322954297,0.45661724476601606,-0.0010396281168187456,0.00010806894317458272,0.00928631215394159
AMKR,-0.0013417590624588635,2.1022032423276795,-0.0028206502515235703,0.00010788083763001651,0.009270148335240161
HAL,-0.0017868817815393913,1.2866608660955536,-0.002299110860645839,0.00010630802308906393,0.009134997140470459
AVTR,-0.0006528429597099192,1.2315278090658575,-0.0008039942598356267,0.00010562573596939329,0.009076368537416205
FTDR,-0.0015084050231093582,0.8998457913395533,-0.0013573319116803977,0.00010438142419414334,0.008969445426831795
CRS,0.0014028302987719385,1.5391722757438835,0.0021591975034432765,9.98402913434067e-05,0.008579228071635364
W,-0.0006733531434214485,2.5781204562709035,-0.0017359855133491518,9.981351887294994e-05,0.0085769275261642
SGI,-0.002279876666829512,1.0315395302583628,-0.0023517829059483165,9.870080943497948e-05,0.008481312940936528
JOBY,-0.0006500970807133262,1.9994651316398828,-0.0012998464450671742,9.8221257262676e-05,0.008440105254109086
RIOT,-0.00049230991031277,2.4153122679725523,-0.0011890821660229002,9.550683816676516e-05,0.008206856530648112
BX,-0.002039872680824145,1.5698125724778018,-0.0032022177806117413,9.52330616694734e-05,0.008183331048307114
TPG,-0.002224775112400254,1.6304931520175323,-0.00362748058554765,9.47817370369795e-05,0.008144548940358388
SAIA,-0.0008042612937711926,1.5884894302870542,-0.001277560564344531,9.477491316468665e-05,0.008143962568304136
BG,-0.0019979396628452494,0.4716651691933388,-0.0009423585491139868,9.444150666631749e-05,0.008115313108736396
HOOD,-0.0018275050435200097,2.639942782464277,-0.004824508749557714,9.331605477662114e-05,0.008018603570778948
VRSN,0.002412731077240196,0.43566666782607155,0.0010511465087816442,9.319235696261636e-05,0.00800797427729402
YETI,-0.0011690658597429755,1.457100551446962,-0.0017034465089093064,9.281145713072161e-05,0.007975243738487469
QS,-0.00036811543511740713,1.8164015980992856,-0.0006686454646322722,9.144913238833707e-05,0.007858179830567285
L,0.002523430483925819,0.5399543883068806,0.0013625373633831012,9.106208302960247e-05,0.007824920865885952
TMO,-0.0015742939929013233,0.9237610898361734,-0.0014542715346050675,9.076326025655442e-05,0.007799243169151677
SPSC,-0.0010209133501311403,1.0672159773532548,-0.0010895350387531905,9.063233790288344e-05,0.007787993074458391
EXEL,0.0013934659061603345,0.6193398830777769,0.00086302901139421,9.038647614883677e-05,0.0077668662925382175
BXP,-0.0018607833663824695,0.9408129040453611,-0.0017506490027255942,8.814161963675743e-05,0.0075739668553863205
CLH,-0.002050788579380672,0.8037064031975524,-0.001648231912852658,8.743785345145286e-05,0.007513492566583763
TTEK,-0.0009681149199330543,0.5202203421099171,-0.0005036330748492885,8.667904000888074e-05,0.007448288093519303
MSTR,-0.0005667474968091234,2.0847892993202772,-0.0011815491167642134,8.661876197565011e-05,0.007443108431202249
EXP,-0.0012562510616696255,1.1015148429028672,-0.0013837791908415775,8.623216425504768e-05,0.00740988827556774
