ticker,weight,beta,beta_contribution,component_contribution,percentage_contribution
MPWR,-0.0049437892394015815,2.2369364084891408,-0.011058942145514235,0.002002003077360696,0.010092407512424168
NXPI,-0.004061657800867727,1.8668280410148899,-0.007582416675666745,0.0014580132964568224,0.00735007079298511
PH,-0.005030309772129981,1.344047808367145,-0.006760976824639133,0.0013185220629973622,0.006646873885645927
BX,-0.004210784669014202,1.5706657485659787,-0.006613735254207339,0.0013082782788121838,0.006595233383373352
PLTR,-0.00408975524658582,2.0802091140888375,-0.008507546138340464,0.0012921162976951865,0.006513758333966396
KKR,-0.0036025523842283212,1.8347725516410955,-0.0066098642304313095,0.0012914002255698495,0.00651014850350264
HOOD,-0.0029380189605315546,2.634838906255699,-0.007741206664525467,0.0012623595354768792,0.0063637498879487294
AMKR,-0.003035139162436054,2.0957534581113366,-0.006360903395524506,0.0011802376524911232,0.005949760759683999
W,-0.0021772004005653533,2.5747220363196925,-0.005605685848819677,0.001119607674406356,0.005644115651931463
IQV,-0.004576511526352368,1.092821178926613,-0.005001308721599628,0.0010906773567847718,0.005498273441096395
ABNB,-0.0042263037406722525,1.298645417141806,-0.005488469984273292,0.0010315335884408287,0.005200120546778968
SGI,-0.004700396392983264,1.0255563508740164,-0.004820521372449305,0.0010023826979892998,0.005053166394153629
CAT,-0.004443042263257287,1.1930825998487986,-0.0053009164146850946,0.0009872570201689055,0.0049769155101308605
SMR,-0.002589504856929038,2.3841910565147533,-0.006173874320691728,0.0009791606787360374,0.0049361005992926855
ALGN,-0.0030959421375122732,1.3245154383644522,-0.004100623157418048,0.0009217408394039944,0.004646638298065418
WSM,-0.0029772311729764386,1.4562981055003659,-0.00433573611684222,0.0009173750481353677,0.004624629668260886
SYF,-0.0028679724178268307,1.6209194598101606,-0.004648752302254307,0.0009144963131472181,0.004610117519428937
OVV,-0.003202710744635407,1.471606703513379,-0.00471313060121979,0.0009073532880961957,0.00457410842408758
MTSI,-0.0030020472941808814,1.76208686250436,-0.0052898680976928925,0.0009019571688115005,0.004546905751213274
HRI,-0.002331453723094732,1.7501495027143388,-0.004080392574075739,0.0008998704419868459,0.004536386238171723
PFG,-0.0038592782995856105,1.1319270206986531,-0.004368421387696904,0.000875820218734755,0.004415145338709734
STLD,-0.003523415539224168,1.2458849715346223,-0.004389770468790948,0.0008543462345230794,0.0043068916591672895
HLT,-0.0043708413810239505,0.9595901503265729,-0.004194216337870378,0.0008408588270293226,0.004238899549538482
TSLA,-0.0022824251759358508,2.281265312687073,-0.005206817382666146,0.0008392978519158559,0.004231030432282865
WWW,-0.0020248975520615643,1.8138926414609309,-0.0036729467693967237,0.0008176059496394323,0.004121678194032581
TFC,-0.003500567943038435,1.1292798933978914,-0.003953120993546519,0.0008148472665365959,0.004107771245343886
IEX,-0.003986897363796118,0.9279100514580976,-0.0036994821379982092,0.0008148367338839457,0.004107718148610952
BXP,-0.003773224475122097,0.9468532829505996,-0.0035726899815789106,0.000811268747329421,0.004089731375905994
OUT,-0.002870176661092942,1.3012324654793077,-0.0037347670530751362,0.0008087025302146757,0.004076794678065593
ADSK,-0.004606002245209746,0.9380472733048895,-0.004320647846955202,0.0007986648264925794,0.004026193059317872
TPG,-0.002448752997450609,1.6318067580462412,-0.003995891690025894,0.00078387110866042,0.003951615636998021
FTV,-0.003618830077279605,1.0061096491301893,-0.0036409398593135593,0.0007717534641395988,0.0038905287146162393
PNR,-0.0032327174320710846,1.1346540590899343,-0.003668015956190245,0.0007647207902520673,0.0038550759165773257
WTFC,-0.002884663266473401,1.2475284455759512,-0.003598699480833608,0.0007614406781433959,0.003838540363529729
ARW,-0.0033635357860884313,1.062708262653594,-0.0035744572716072272,0.0007607251524686583,0.0038349332878080604
HAL,-0.0028475586813851103,1.289324474855198,-0.0036714271014962174,0.000752952310118853,0.0037957491859397043
NCLH,-0.0019960563282839204,1.8572784633808133,-0.0037072324302167077,0.0007523253048643516,0.003792588355363359
RHP,-0.0034041663876045922,0.9895444411498672,-0.0033685739256033484,0.0007498750052477597,0.003780236015580353
NTAP,-0.003045089097462592,1.3081334160510483,-0.003983382803243544,0.0007485201407236449,0.0037734059337207787
ZM,-0.0043994292820269945,0.9088210682419633,-0.003998294019746747,0.0007445483879518379,0.003753383712993466
ALGM,-0.0018972248620130819,2.001732136528164,-0.0037977359765117976,0.0007291778231641317,0.003675898315849044
JXN,-0.002575573278696532,1.406691297373082,-0.003623036516889067,0.0007279074539192182,0.003669494187775564
TMO,-0.0035718278956403987,0.9232796609719226,-0.003297796048536923,0.0007265569189317397,0.003662685931780579
RJF,-0.003601195358846425,1.0349833039401917,-0.003727177070632957,0.0007258684929487968,0.0036592154698014893
PRAA,-0.0020244545966912964,1.6269952736825783,-0.0032937780606017097,0.0007220468615892957,0.0036399500343591066
SBUX,-0.0032521055202372456,1.0756502835474888,-0.003498128224969547,0.000715756451490934,0.003608239103016968
CNH,-0.0028835602288087864,1.1445496623734575,-0.003300377886316626,0.0007135035422115717,0.0035968818384887733
FERG,-0.0033337228283561076,1.00141477667821,-0.003338439301665282,0.000702822160748886,0.0035430353405806903
RCL,-0.0021288753190588103,1.619035204391158,-0.0034467240873156725,0.0006932151471960375,0.0034946048976662114
APP,-0.002175238607602828,2.143359740498486,-0.004662318857513886,0.000690414638320312,0.0034804870987798857
CRDO,-0.0017494920383846508,2.6656498121355567,-0.004663533123452697,0.000686344067462509,0.0034599667207796153
HD,-0.004545553643654201,0.6532173635817009,-0.0029692345671269915,0.0006855538394331634,0.0034559830589211086
