Date,Port,ticker,shares,price
1/30/2026,US_live_port,FISV,-3549,63.73
1/30/2026,US_live_port,UPBD,6996,18.9
1/30/2026,US_live_port,BOKF,2552,129.94
1/30/2026,US_live_port,EQH,14844,46.4
1/30/2026,US_live_port,TRGP,278,200.98
1/30/2026,US_live_port,NLY,-23547,23.01
1/30/2026,US_live_port,AGYS,-147,86.75
1/30/2026,US_live_port,UNP,-898,235.1
1/30/2026,US_live_port,COR,93,359.22
1/30/2026,US_live_port,TALO,3774,11.92
1/30/2026,US_live_port,BBWI,-16,21.8
1/30/2026,US_live_port,MATW,-1287,26.29
1/30/2026,US_live_port,NXST,-1019,212.38
1/30/2026,US_live_port,REGN,269,741.45
1/30/2026,US_live_port,TCBI,-2885,101.17
1/30/2026,US_live_port,PARR,8,37.74
1/30/2026,US_live_port,ERIE,-506,283.01
1/30/2026,US_live_port,NEXA,11,12.61
1/30/2026,US_live_port,CTMX,-22179,5.69
1/30/2026,US_live_port,SCHW,5126,103.92
1/30/2026,US_live_port,MSTR,-1127,149.71
1/30/2026,US_live_port,AOS,-3482,73.49
1/30/2026,US_live_port,RAMP,1147,24.35
1/30/2026,US_live_port,SIG,-98,92.27
1/30/2026,US_live_port,ANGO,6966,10.36
1/30/2026,US_live_port,RL,734,353.41
1/30/2026,US_live_port,MOD,-1227,184.66
1/30/2026,US_live_port,WK,1091,77.02
1/30/2026,US_live_port,ATEX,-158,26.265
1/30/2026,US_live_port,DCO,2922,113.35
1/30/2026,US_live_port,VCYT,472,38.08
1/30/2026,US_live_port,OMF,4219,65.54
1/30/2026,US_live_port,ETSY,782,52.96
1/30/2026,US_live_port,JJSF,-3033,95
1/30/2026,US_live_port,EBS,-6518,11.34
1/30/2026,US_live_port,MP,-383,58.77
1/30/2026,US_live_port,PRMB,-6313,18.94
1/30/2026,US_live_port,CPB,-1868,27.98
1/30/2026,US_live_port,MXL,7545,17.35
1/30/2026,US_live_port,EBC,1721,20.485
1/30/2026,US_live_port,BH/A,-117,1968.82
1/30/2026,US_live_port,PRAA,-12012,12.79
1/30/2026,US_live_port,EL,2222,115.28
1/30/2026,US_live_port,SENEA,346,119.33
1/30/2026,US_live_port,WPC,-2881,69.75
1/30/2026,US_live_port,GLNG,2002,40.59
1/30/2026,US_live_port,CFR,-271,137.82
1/30/2026,US_live_port,SCSC,-374,42.99
1/30/2026,US_live_port,THR,-13,45.25
1/30/2026,US_live_port,RITM,18301,10.94
1/30/2026,US_live_port,ACIW,3354,43.36
1/30/2026,US_live_port,VITL,-7,28.45
1/30/2026,US_live_port,META,-302,716.5
1/30/2026,US_live_port,RXO,-127,14.58
1/30/2026,US_live_port,ACHC,-1046,13.44
1/30/2026,US_live_port,SEI,-124,55.19
1/30/2026,US_live_port,TPH,2629,33.35
1/30/2026,US_live_port,NE,3641,35.62
1/30/2026,US_live_port,AGIO,337,27.44
1/30/2026,US_live_port,SABR,-25,1.3
1/30/2026,US_live_port,PINS,5057,22.13
1/30/2026,US_live_port,AVNS,-1315,13.32
1/30/2026,US_live_port,BLMN,13600,6
1/30/2026,US_live_port,NOVT,-2,134.54
1/30/2026,US_live_port,EEFT,2530,72.46
1/30/2026,US_live_port,LZB,-14,36.41
1/30/2026,US_live_port,TPL,-274,348.36
1/30/2026,US_live_port,MCS,17,15.09
1/30/2026,US_live_port,LVS,2202,52.73
1/30/2026,US_live_port,JAZZ,637,164.49
1/30/2026,US_live_port,WBS,1191,65.77
1/30/2026,US_live_port,OVV,-12168,43.47
1/30/2026,US_live_port,HFWA,-11998,25.81
1/30/2026,US_live_port,LGND,237,192.1
1/30/2026,US_live_port,INSM,1,156.87
1/30/2026,US_live_port,PRU,1145,111.11
1/30/2026,US_live_port,PLPC,-1,250.94
1/30/2026,US_live_port,MO,5968,61.99
1/30/2026,US_live_port,BLFS,-13,21.8
1/30/2026,US_live_port,NX,4840,18.72
1/30/2026,US_live_port,NFLX,-1780,83.49
1/30/2026,US_live_port,LMT,-316,634.22
1/30/2026,US_live_port,MUSA,788,422.51
