Date,Port,ticker,shares,price
1/29/2026,US_live_port,FISV,-5723,63.43
1/29/2026,US_live_port,UPBD,7799,18.6
1/29/2026,US_live_port,BOKF,2934,130.54
1/29/2026,US_live_port,EQH,13760,46.1
1/29/2026,US_live_port,TRGP,15,201.52
1/29/2026,US_live_port,NLY,70,24
1/29/2026,US_live_port,AGYS,-273,85.26
1/29/2026,US_live_port,UNP,-197,233.58
1/29/2026,US_live_port,COR,-648,352.1
1/29/2026,US_live_port,TALO,3435,12.09
1/29/2026,US_live_port,BBWI,14352,20.73
1/29/2026,US_live_port,MATW,-1191,26.02
1/29/2026,US_live_port,NXST,-867,206.97
1/29/2026,US_live_port,REGN,479,749.44
1/29/2026,US_live_port,TCBI,182,101.03
1/29/2026,US_live_port,PARR,14,36.47
1/29/2026,US_live_port,ERIE,-479,282.1
1/29/2026,US_live_port,NEXA,57,13.86
1/29/2026,US_live_port,CTMX,-22130,5.74
1/29/2026,US_live_port,SCHW,4257,103.47
1/29/2026,US_live_port,MSTR,-698,143.19
1/29/2026,US_live_port,AOS,-4783,73.17
1/29/2026,US_live_port,RAMP,946,24.19
1/29/2026,US_live_port,SIG,-6,91.65
1/29/2026,US_live_port,ANGO,6137,9.98
1/29/2026,US_live_port,RL,185,355.09
1/29/2026,US_live_port,MOD,-865,176.72
1/29/2026,US_live_port,WK,1035,76.27
1/29/2026,US_live_port,ATEX,2945,26.6
1/29/2026,US_live_port,DCO,2000,111.72
1/29/2026,US_live_port,VCYT,400,38.74
1/29/2026,US_live_port,OMF,7966,66.1
1/29/2026,US_live_port,ETSY,1083,54.95
1/29/2026,US_live_port,JJSF,-2218,93.87
1/29/2026,US_live_port,EBS,-5608,11.9
1/29/2026,US_live_port,MP,-40,62.16
1/29/2026,US_live_port,PRMB,-7196,18.96
1/29/2026,US_live_port,CPB,-476,27.01
1/29/2026,US_live_port,MXL,-2153,19.27
1/29/2026,US_live_port,EBC,-1110,20.41
1/29/2026,US_live_port,BH/A,-158,1939.04
1/29/2026,US_live_port,PRAA,-23486,12.79
1/29/2026,US_live_port,EL,2970,115.21
1/29/2026,US_live_port,SENEA,82,116.83
1/29/2026,US_live_port,WPC,-7443,69.17
1/29/2026,US_live_port,GLNG,2050,40.99
1/29/2026,US_live_port,CFR,-1593,138.77
1/29/2026,US_live_port,SCSC,-927,42.56
1/29/2026,US_live_port,THR,-646,45.58
1/29/2026,US_live_port,RITM,-9192,11.92
1/29/2026,US_live_port,ACIW,4968,43.2
1/29/2026,US_live_port,VITL,-60,28.13
1/29/2026,US_live_port,META,-478,738.31
1/29/2026,US_live_port,RXO,-166,14.88
1/29/2026,US_live_port,ACHC,-564,13.05
1/29/2026,US_live_port,SEI,-148,56.19
1/29/2026,US_live_port,TPH,4014,33.73
1/29/2026,US_live_port,NE,5331,36.01
1/29/2026,US_live_port,AGIO,876,27.61
1/29/2026,US_live_port,SABR,-1490,1.21
1/29/2026,US_live_port,PINS,2454,22.35
1/29/2026,US_live_port,AVNS,-508,12.89
1/29/2026,US_live_port,BLMN,23448,6.16
1/29/2026,US_live_port,NOVT,1249,140.42
1/29/2026,US_live_port,EEFT,1274,72.9
1/29/2026,US_live_port,LZB,-175,36.77
1/29/2026,US_live_port,TPL,-737,353.21
1/29/2026,US_live_port,MCS,-14488,15.07
1/29/2026,US_live_port,LVS,-2858,52.71
1/29/2026,US_live_port,JAZZ,1074,163.98
1/29/2026,US_live_port,WBS,2946,65.62
1/29/2026,US_live_port,OVV,-10932,43.47
1/29/2026,US_live_port,HFWA,500,25.48
1/29/2026,US_live_port,LGND,288,195.17
1/29/2026,US_live_port,INSM,2,157.82
1/29/2026,US_live_port,PRU,-309,109.87
1/29/2026,US_live_port,PLPC,-75,257.1
1/29/2026,US_live_port,MO,4587,59.76
1/29/2026,US_live_port,BLFS,-78,22.58
1/29/2026,US_live_port,NX,4824,18.67
1/29/2026,US_live_port,NFLX,-516,83.16
1/29/2026,US_live_port,LMT,-463,622.51
1/29/2026,US_live_port,MUSA,633,419.13
1/29/2026,US_live_port,PCRX,2965,20.09
1/29/2026,US_live_port,WGS,-2049,98.16
1/29/2026,US_live_port,GPC,2059,138.88
1/29/2026,US_live_port,SMTC,-522,81.98
1/29/2026,US_live_port,FMBH,709,41.45
1/29/2026,US_live_port,KBR,-1197,43.23
1/29/2026,US_live_port,RSI,-14245,17.78
1/29/2026,US_live_port,GOGO,-560,4.54
1/29/2026,US_live_port,HUBS,845,281.53
1/29/2026,US_live_port,A,-1217,133.27
1/29/2026,US_live_port,ACGL,-1586,95.72
1/29/2026,US_live_port,UNIT,-36,7.52
1/29/2026,US_live_port,FIS,10039,55.2
1/29/2026,US_live_port,VLY,-12548,12.67
1/29/2026,US_live_port,FHN,14959,24.42
1/29/2026,US_live_port,OMER,-1850,11.95
1/29/2026,US_live_port,TBBK,-733,70.53
1/29/2026,US_live_port,TMHC,124,61.55
1/29/2026,US_live_port,FG,-2225,29.4
1/29/2026,US_live_port,APEI,-2301,42.27
1/29/2026,US_live_port,NOV,-11499,18.6
1/29/2026,US_live_port,PCOR,3989,56.79
1/29/2026,US_live_port,CCOI,3821,24.04
1/29/2026,US_live_port,OSIS,427,269.74
1/29/2026,US_live_port,MCO,-747,515.45
1/29/2026,US_live_port,EPRT,5455,30.05
1/29/2026,US_live_port,CACC,707,451.24
1/29/2026,US_live_port,LYV,1064,147.78
1/29/2026,US_live_port,CLH,-2006,258.16
1/29/2026,US_live_port,SB,-16657,5.62
1/29/2026,US_live_port,GSIT,6227,7.54
1/29/2026,US_live_port,MTUS,276,19.86
1/29/2026,US_live_port,BKR,-369,56.73
1/29/2026,US_live_port,UPS,-4300,105.99
1/29/2026,US_live_port,WDFC,-230,225.83
1/29/2026,US_live_port,AVPT,5354,11.92
1/29/2026,US_live_port,SNAP,39455,7.24
1/29/2026,US_live_port,QCOM,3704,152.22
1/29/2026,US_live_port,ROST,-842,186.5
1/29/2026,US_live_port,PNR,-4529,105.91
1/29/2026,US_live_port,LOB,-86,39.5
1/29/2026,US_live_port,LFST,8022,7.07
1/29/2026,US_live_port,WEC,-729,110.41
1/29/2026,US_live_port,ALB,2326,180.7
1/29/2026,US_live_port,PNFP,5333,94.97
1/29/2026,US_live_port,GCMG,16194,11.31
1/29/2026,US_live_port,CALY,6716,14.53
1/29/2026,US_live_port,OMCL,2417,49.09
1/29/2026,US_live_port,MOH,528,184.93
1/29/2026,US_live_port,BGS,-3091,4.29
1/29/2026,US_live_port,JXN,-3237,118.06
1/29/2026,US_live_port,GTLB,-696,35.5
1/29/2026,US_live_port,MAR,266,319.77
1/29/2026,US_live_port,ILMN,-265,149.69
1/29/2026,US_live_port,EGY,-9075,5.17
1/29/2026,US_live_port,NNN,-5399,41.82
1/29/2026,US_live_port,TROX,16159,6.65
1/29/2026,US_live_port,PLXS,786,197.6
1/29/2026,US_live_port,SM,-349,18.87
1/29/2026,US_live_port,SLGN,-32,42.71
1/29/2026,US_live_port,HAE,854,65.96
1/29/2026,US_live_port,TXRH,-2045,184.02
1/29/2026,US_live_port,WD,849,64.62
1/29/2026,US_live_port,PR,-10184,16.05
1/29/2026,US_live_port,CYD,-2289,46.01
1/29/2026,US_live_port,KRO,18021,5.38
1/29/2026,US_live_port,TEX,-156,57.68
1/29/2026,US_live_port,PTCT,5,76.43
1/29/2026,US_live_port,MWA,2909,26.99
1/29/2026,US_live_port,RMD,-2271,257.61
1/29/2026,US_live_port,CC,-4584,15.24
1/29/2026,US_live_port,HIMS,-1482,29.87
1/29/2026,US_live_port,VSAT,25,46.23
1/29/2026,US_live_port,ACI,-1776,16.59
1/29/2026,US_live_port,MNKD,-11549,5.79
1/29/2026,US_live_port,CNM,1586,54.19
1/29/2026,US_live_port,BHVN,-27,12.1
1/29/2026,US_live_port,AMBA,-1628,65.9
1/29/2026,US_live_port,BPOP,828,133.25
1/29/2026,US_live_port,RLJ,-4559,7.5
1/29/2026,US_live_port,SPB,119,63.81
1/29/2026,US_live_port,CTO,955,17.53
1/29/2026,US_live_port,BKNG,112,204.533
1/29/2026,US_live_port,TNET,3257,58.46
1/29/2026,US_live_port,EQR,3707,61.86
1/29/2026,US_live_port,CRWD,-606,111.155
1/29/2026,US_live_port,SLNO,-665,40.55
1/29/2026,US_live_port,DXC,15419,14.41
1/29/2026,US_live_port,CPF,-12358,31.84
1/29/2026,US_live_port,ADNT,-3874,21.04
1/29/2026,US_live_port,SPNT,592,20.58
1/29/2026,US_live_port,MEDP,-135,593.07
1/29/2026,US_live_port,IESC,49,474.61
1/29/2026,US_live_port,MGRC,-1295,110.73
1/29/2026,US_live_port,ZTS,1557,121.72
1/29/2026,US_live_port,IMAX,3248,34.37
1/29/2026,US_live_port,SFNC,15425,20.32
1/29/2026,US_live_port,ATRC,2890,36.95
1/29/2026,US_live_port,EQBK,742,46.26
1/29/2026,US_live_port,NN,-9536,14.63
1/29/2026,US_live_port,AWK,-1399,129
1/29/2026,US_live_port,AROC,15805,29.17
1/29/2026,US_live_port,PODD,332,255.1
1/29/2026,US_live_port,REPL,-4205,7.39
1/29/2026,US_live_port,ASIX,-11142,16.05
1/29/2026,US_live_port,HOV,507,115.26
1/29/2026,US_live_port,COIN,-688,199.18
1/29/2026,US_live_port,HCSG,1198,18.62
1/29/2026,US_live_port,COLB,-1126,29.04
1/29/2026,US_live_port,UTHR,245,467.7
1/29/2026,US_live_port,HTZ,-8872,5.08
1/29/2026,US_live_port,XNCR,4643,12.38
1/29/2026,US_live_port,ACLX,3539,68.26
1/29/2026,US_live_port,LAND,-122,10.44
1/29/2026,US_live_port,FELE,-300,98.63
1/29/2026,US_live_port,BSY,-8441,35.07
1/29/2026,US_live_port,AX,-2316,94.64
1/29/2026,US_live_port,DCI,-3436,103.32
1/29/2026,US_live_port,AEIS,825,269.12
1/29/2026,US_live_port,GOLF,-687,95.69
1/29/2026,US_live_port,ICLR,-1168,185.89
1/29/2026,US_live_port,MPWR,-620,1183.15
1/29/2026,US_live_port,NVST,-6359,23.39
1/29/2026,US_live_port,BANF,-397,109.17
1/29/2026,US_live_port,CENX,21,48.93
1/29/2026,US_live_port,CPAY,-742,322.34
1/29/2026,US_live_port,RGTI,-1402,19.85
1/29/2026,US_live_port,FAST,-1682,43.32
1/29/2026,US_live_port,MU,482,435.79
1/29/2026,US_live_port,YETI,-3572,45.71
1/29/2026,US_live_port,SBLK,13669,22.9
1/29/2026,US_live_port,NOC,-875,695.35
1/29/2026,US_live_port,HNI,-102,47.32
1/29/2026,US_live_port,FSLR,1596,224.01
1/29/2026,US_live_port,TDW,-762,62.47
1/29/2026,US_live_port,HLX,511,7.92
1/29/2026,US_live_port,YUM,-17,155.48
1/29/2026,US_live_port,POR,715,50.27
1/29/2026,US_live_port,DAVE,2,171.4
1/29/2026,US_live_port,ORC,-1615,8.27
1/29/2026,US_live_port,LASR,-2615,47.11
1/29/2026,US_live_port,ATKR,2070,70.33
1/29/2026,US_live_port,BWA,2709,48.93
1/29/2026,US_live_port,KFY,956,67.25
1/29/2026,US_live_port,ED,-4320,105.96
1/29/2026,US_live_port,CF,-1711,94.03
1/29/2026,US_live_port,FHI,2289,53.03
1/29/2026,US_live_port,AXON,160,509.58
1/29/2026,US_live_port,TPB,-1857,121.34
1/29/2026,US_live_port,BFH,1788,73.03
1/29/2026,US_live_port,IART,1265,11.09
1/29/2026,US_live_port,ABCB,-2506,81.3
1/29/2026,US_live_port,GIS,-537,44.43
1/29/2026,US_live_port,ON,-1998,62.2
1/29/2026,US_live_port,MDB,-624,374.02
