Date,Port,ticker,shares,price
1/27/2026,US_live_port,APD,-680,259.12
1/27/2026,US_live_port,APEI,-696,42.23
1/27/2026,US_live_port,APG,3013,41.86
1/27/2026,US_live_port,APH,-1682,166.25
1/27/2026,US_live_port,APLD,1083,41.35
1/27/2026,US_live_port,APLE,-3186,11.88
1/27/2026,US_live_port,APLS,4515,21.81
1/27/2026,US_live_port,APO,-41,131.72
1/27/2026,US_live_port,APOG,2377,38.49
1/27/2026,US_live_port,APP,-480,543.56
1/27/2026,US_live_port,APPF,60,216.06
1/27/2026,US_live_port,APPN,3785,29.89
1/27/2026,US_live_port,APTV,-7187,66.0831
1/27/2026,US_live_port,AR,-8009,34.38
1/27/2026,US_live_port,ARCB,1252,86.9
1/27/2026,US_live_port,ARDX,243,7.89
1/27/2026,US_live_port,ARE,-3643,58.14
1/27/2026,US_live_port,ARES,-843,149.38
1/27/2026,US_live_port,ARI,-45747,10.12
1/27/2026,US_live_port,ARLO,2439,13.2
1/27/2026,US_live_port,ARMK,12603,38.76
1/27/2026,US_live_port,AROC,17035,28.52
1/27/2026,US_live_port,ARQT,37,26.33
1/27/2026,US_live_port,ARR,20355,18.57
1/27/2026,US_live_port,ARVN,4120,13.62
1/27/2026,US_live_port,ARW,-4195,121.1
1/27/2026,US_live_port,ARWR,1754,66.91
1/27/2026,US_live_port,ASAN,13475,11.15
1/27/2026,US_live_port,ASB,3128,26.75
1/27/2026,US_live_port,ASC,-8926,11.96
1/27/2026,US_live_port,ASH,215,62.3
1/27/2026,US_live_port,ASIX,-13831,16.51
1/27/2026,US_live_port,ASMB,-1794,27.52
1/27/2026,US_live_port,ASO,-1277,54.17
1/27/2026,US_live_port,ASTE,956,48.41
1/27/2026,US_live_port,ASTH,3554,21.48
1/27/2026,US_live_port,ASTS,-1756,111.34
1/27/2026,US_live_port,ASUR,157,9.69
1/27/2026,US_live_port,ATEC,9087,15.26
1/27/2026,US_live_port,ATEN,-1605,18.14
1/27/2026,US_live_port,ATEX,-1204,25.93
1/27/2026,US_live_port,ATI,1312,124.15
