Date,Port,ticker,shares,price
1/28/2026,US_live_port,A,-1087,133.87
1/28/2026,US_live_port,AA,4157,60.01
1/28/2026,US_live_port,AAL,-17480,13.44
1/28/2026,US_live_port,AAMI,111,55.29
1/28/2026,US_live_port,AAOI,1655,45.23
1/28/2026,US_live_port,AAON,-363,91.22
1/28/2026,US_live_port,AAP,-1670,49.59
1/28/2026,US_live_port,AAPL,411,256.44
1/28/2026,US_live_port,AAT,-3231,17.76
1/28/2026,US_live_port,ABBV,2867,218.67
1/28/2026,US_live_port,ABCB,-1974,79.68
1/28/2026,US_live_port,ABEO,4196,4.83
1/28/2026,US_live_port,ABG,1087,243.89
1/28/2026,US_live_port,ABM,3719,44.79
1/28/2026,US_live_port,ABNB,-5282,131.55
1/28/2026,US_live_port,ABR,26301,7.74
1/28/2026,US_live_port,ABT,2857,106.05
1/28/2026,US_live_port,ABUS,964,4.14
1/28/2026,US_live_port,ACA,489,113.05
1/28/2026,US_live_port,ACAD,130,25.62
1/28/2026,US_live_port,ACGL,-2500,94.17
1/28/2026,US_live_port,ACHC,-92,13.44
1/28/2026,US_live_port,ACHR,-371,7.73
1/28/2026,US_live_port,ACI,-1089,16.69
1/28/2026,US_live_port,ACIC,132,10.81
1/28/2026,US_live_port,ACIW,2559,43.5
1/28/2026,US_live_port,ACLS,-21,91.23
1/28/2026,US_live_port,ACLX,5033,68.14
1/28/2026,US_live_port,ACM,668,97.49
1/28/2026,US_live_port,ACMR,-3115,55.79
1/28/2026,US_live_port,ACN,-1104,270.43
1/28/2026,US_live_port,ACT,1026,39.31
1/28/2026,US_live_port,ACVA,31108,8.04
1/28/2026,US_live_port,AD,-1251,46.59
1/28/2026,US_live_port,ADAM,-12371,8.44
1/28/2026,US_live_port,ADBE,1294,299.58
1/28/2026,US_live_port,ADC,-3471,71.08
1/28/2026,US_live_port,ADEA,2739,18.37
1/28/2026,US_live_port,ADI,148,317.625
1/28/2026,US_live_port,ADM,75,67.4
1/28/2026,US_live_port,ADMA,1703,16.33
1/28/2026,US_live_port,ADNT,-3876,21.59
1/28/2026,US_live_port,ADP,1094,250.69
1/28/2026,US_live_port,ADSK,-2227,268.33
1/28/2026,US_live_port,ADT,-12949,7.95
1/28/2026,US_live_port,ADTN,21943,9.6
1/28/2026,US_live_port,ADUS,-247,102.48
1/28/2026,US_live_port,AEE,3816,103.58
1/28/2026,US_live_port,AEIS,702,263.76
1/28/2026,US_live_port,AEO,1862,23.13
1/28/2026,US_live_port,AEP,613,119.12
1/28/2026,US_live_port,AER,3087,142.64
1/28/2026,US_live_port,AES,-3778,15.19
1/28/2026,US_live_port,AFG,2241,128.45
1/28/2026,US_live_port,AFL,39,108.92
1/28/2026,US_live_port,AFRM,-1010,65.36
1/28/2026,US_live_port,AGCO,-1126,112.75
1/28/2026,US_live_port,AGIO,1021,28.31
1/28/2026,US_live_port,AGM,82,167.28
1/28/2026,US_live_port,AGNC,-34534,12.02
1/28/2026,US_live_port,AGO,60,83.6
1/28/2026,US_live_port,AGX,229,358.87
1/28/2026,US_live_port,AGYS,-230,85.67
1/28/2026,US_live_port,AI,-154,13.13
1/28/2026,US_live_port,AIG,730,73.39
1/28/2026,US_live_port,AIN,-1034,55.56
1/28/2026,US_live_port,AIR,1808,104.06
1/28/2026,US_live_port,AIT,382,256.26
1/28/2026,US_live_port,AIV,68960,5.84
1/28/2026,US_live_port,AIZ,-1323,237.29
1/28/2026,US_live_port,AJG,699,242.37
1/28/2026,US_live_port,AKAM,-24,102.1
1/28/2026,US_live_port,AKBA,39030,1.45
1/28/2026,US_live_port,AKR,-1101,19.41
1/28/2026,US_live_port,ALB,2689,184.33
1/28/2026,US_live_port,ALDX,-4400,5.42
1/28/2026,US_live_port,ALG,1858,190.9
1/28/2026,US_live_port,ALGM,895,34.55
1/28/2026,US_live_port,ALGN,-3279,164.92
1/28/2026,US_live_port,ALGT,136,86.75
1/28/2026,US_live_port,ALHC,38,22.08
1/28/2026,US_live_port,ALK,666,52.37
1/28/2026,US_live_port,ALKS,3118,33.9
1/28/2026,US_live_port,ALKT,-166,22.41
1/28/2026,US_live_port,ALL,-286,197.33
1/28/2026,US_live_port,ALLE,642,164.9
1/28/2026,US_live_port,ALLO,-3142,1.45
1/28/2026,US_live_port,ALLY,7995,42.3
1/28/2026,US_live_port,ALNT,1007,59.89
1/28/2026,US_live_port,ALNY,1534,349.58
1/28/2026,US_live_port,ALRM,-2366,48.72
1/28/2026,US_live_port,ALSN,2303,110.59
1/28/2026,US_live_port,ALV,2088,126.25
1/28/2026,US_live_port,ALX,192,237.85
1/28/2026,US_live_port,AMAL,7231,37.65
1/28/2026,US_live_port,AMAT,1163,336.75
1/28/2026,US_live_port,AMBA,-3306,66.69
1/28/2026,US_live_port,AMBP,-31398,4.41
1/28/2026,US_live_port,AMC,-3732,1.43
1/28/2026,US_live_port,AMCR,-1080,44.19
1/28/2026,US_live_port,AMCX,2618,7.72
1/28/2026,US_live_port,AMD,827,252.74
1/28/2026,US_live_port,AME,422,222.49
1/28/2026,US_live_port,AMG,182,313.58
1/28/2026,US_live_port,AMGN,704,342.22
1/28/2026,US_live_port,AMH,2410,30.79
1/28/2026,US_live_port,AMKR,-10001,50.96
1/28/2026,US_live_port,AMN,-315,20.49
1/28/2026,US_live_port,AMP,1505,499.67
1/28/2026,US_live_port,AMPH,9756,26.12
1/28/2026,US_live_port,AMPL,-16387,9.9
1/28/2026,US_live_port,AMR,1095,215.74
1/28/2026,US_live_port,AMRC,-8229,33.31
1/28/2026,US_live_port,AMRX,-22245,13.95
1/28/2026,US_live_port,AMSF,4553,36.37
1/28/2026,US_live_port,AMT,-1316,177.51
1/28/2026,US_live_port,AMZN,-905,243.01
1/28/2026,US_live_port,AN,240,215.93
1/28/2026,US_live_port,ANAB,-1958,31.6287
1/28/2026,US_live_port,ANDE,348,61.01
1/28/2026,US_live_port,ANET,-649,150.15
1/28/2026,US_live_port,ANF,564,96.51
1/28/2026,US_live_port,ANGI,-1430,13.47
1/28/2026,US_live_port,ANGO,2334,10.01
1/28/2026,US_live_port,ANIP,1794,79.51
1/28/2026,US_live_port,AON,586,333
1/28/2026,US_live_port,AORT,54,41.29
1/28/2026,US_live_port,AOS,-544,69.49
1/28/2026,US_live_port,AOSL,-337,22.47
1/28/2026,US_live_port,APA,-648,26.01
1/28/2026,US_live_port,APAM,-88,44.23
1/28/2026,US_live_port,APD,-555,255.89
1/28/2026,US_live_port,APEI,240,41.46
1/28/2026,US_live_port,APG,2942,41.92
1/28/2026,US_live_port,APH,-2348,145.96
1/28/2026,US_live_port,APLD,1201,40.22
1/28/2026,US_live_port,APLE,-4190,11.48
1/28/2026,US_live_port,APLS,3192,23.07
1/28/2026,US_live_port,APO,-367,132.89
1/28/2026,US_live_port,APOG,2341,38.06
1/28/2026,US_live_port,APP,-652,542.36
1/28/2026,US_live_port,APPF,-610,218
1/28/2026,US_live_port,APPN,5767,30.21
1/28/2026,US_live_port,APTV,-3078,65.9136
1/28/2026,US_live_port,AR,-4927,34.46
1/28/2026,US_live_port,ARCB,1211,85.98
1/28/2026,US_live_port,ARDX,155,7.86
1/28/2026,US_live_port,ARE,-3455,54.61
1/28/2026,US_live_port,ARES,-996,149.8
1/28/2026,US_live_port,ARI,-45628,10.68
1/28/2026,US_live_port,ARLO,3164,12.87
1/28/2026,US_live_port,ARMK,13663,38.5
1/28/2026,US_live_port,AROC,15857,28.37
1/28/2026,US_live_port,ARQT,23,25.45
1/28/2026,US_live_port,ARR,22471,18.47
1/28/2026,US_live_port,ARVN,5212,12.93
1/28/2026,US_live_port,ARW,-3269,128.41
1/28/2026,US_live_port,ARWR,2261,65.58
1/28/2026,US_live_port,ASAN,13855,11.11
1/28/2026,US_live_port,ASB,1862,26.8
1/28/2026,US_live_port,ASC,567,12.26
1/28/2026,US_live_port,ASH,442,62.12
1/28/2026,US_live_port,ASIX,-9807,16.37
1/28/2026,US_live_port,ASMB,-2985,26.42
1/28/2026,US_live_port,ASO,-489,55.13
1/28/2026,US_live_port,ASTE,801,47.65
1/28/2026,US_live_port,ASTH,3424,22
1/28/2026,US_live_port,ASTS,-717,121.23
1/28/2026,US_live_port,ASUR,267,9.81
1/28/2026,US_live_port,ATEC,9509,15.26
1/28/2026,US_live_port,ATEN,-1239,18.44
1/28/2026,US_live_port,ATEX,2874,27.91
1/28/2026,US_live_port,ATI,1162,121.72
1/28/2026,US_live_port,ATKR,583,68.36
1/28/2026,US_live_port,ATO,1853,166
1/28/2026,US_live_port,ATR,-1112,123.7
1/28/2026,US_live_port,ATRC,1256,37.77
1/28/2026,US_live_port,ATRO,-927,63.6926
1/28/2026,US_live_port,AUB,-3958,38.9
1/28/2026,US_live_port,AUR,-6464,4.5
1/28/2026,US_live_port,AVA,-286,40.36
1/28/2026,US_live_port,AVAV,-494,306.94
1/28/2026,US_live_port,AVB,1946,172.97
1/28/2026,US_live_port,AVGO,1228,333.24
1/28/2026,US_live_port,AVNS,-270,12.85
1/28/2026,US_live_port,AVNT,-220,36.16
1/28/2026,US_live_port,AVPT,5338,12.4
1/28/2026,US_live_port,AVT,-3631,59.96
1/28/2026,US_live_port,AVTR,-11302,11.05
1/28/2026,US_live_port,AVXL,54504,4.87
1/28/2026,US_live_port,AVY,709,184.87
1/28/2026,US_live_port,AWI,-819,183.61
1/28/2026,US_live_port,AWK,1116,127.05
1/28/2026,US_live_port,AWR,-1645,72.23
1/28/2026,US_live_port,AX,-2814,91.86
1/28/2026,US_live_port,AXGN,43,34.11
1/28/2026,US_live_port,AXON,343,549.86
1/28/2026,US_live_port,AXP,950,356.99
1/28/2026,US_live_port,AXS,115,103.78
1/28/2026,US_live_port,AXSM,981,185.17
1/28/2026,US_live_port,AXTI,4513,16.83
1/28/2026,US_live_port,AYI,194,312.16
1/28/2026,US_live_port,AZO,102,3782.14
1/28/2026,US_live_port,AZTA,3149,39.03
1/28/2026,US_live_port,AZZ,155,123.15
1/28/2026,US_live_port,BA,1244,241.59
1/28/2026,US_live_port,BAC,11485,51.81
1/28/2026,US_live_port,BAH,-1145,91.1
1/28/2026,US_live_port,BALL,-6708,56.26
1/28/2026,US_live_port,BANC,1258,20.06
1/28/2026,US_live_port,BAND,5268,13.98
1/28/2026,US_live_port,BANF,-27,107.94
1/28/2026,US_live_port,BANR,-5769,60.88
1/28/2026,US_live_port,BAP,1435,358.18
1/28/2026,US_live_port,BATRK,-2266,39.48
1/28/2026,US_live_port,BAX,-7685,19.61
1/28/2026,US_live_port,BBBY,-744,6.52
1/28/2026,US_live_port,BBIO,298,77.49
1/28/2026,US_live_port,BBSI,847,36.65
1/28/2026,US_live_port,BBT,11486,28.18
1/28/2026,US_live_port,BBW,-26,61.39
1/28/2026,US_live_port,BBWI,11836,21.63
1/28/2026,US_live_port,BBY,-796,65.56
1/28/2026,US_live_port,BC,471,84.17
1/28/2026,US_live_port,BCC,2492,80.85
1/28/2026,US_live_port,BCO,1475,124.67
1/28/2026,US_live_port,BCPC,-1582,168.14
1/28/2026,US_live_port,BCRX,4754,6.66
1/28/2026,US_live_port,BCSF,-5949,13.17
