ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_pct_of_daily_market_volume,position_value_pct_dollar_adv,liquidation_participation_rate,estimated_days_to_liquidate,estimated_full_trading_days
A,-64,135.39,-8664.96,1977318.9,278604028.64699996,3.2367060265291554e-05,0.0032367060265291554,3.1101344952117596e-05,0.1,0.0003236706026529155,1
AA,9274,58.21,539839.54,9396869.95,581094862.6505,0.0009869243747488493,0.09869243747488493,0.0009290041518138269,0.1,0.009869243747488493,1
AAL,1717,13.69,23505.73,60312847.15,902917805.1225001,2.8468229923382087e-05,0.0028468229923382087,2.6033078389467517e-05,0.1,0.00028468229923382085,1
AAMI,-3120,55.85,-174252.0,227769.85,12157753.397000002,0.0136980377341426,1.36980377341426,0.014332582205771481,0.1,0.13698037734142599,1
AAOI,1385,44.16,61161.6,5550412.7,214989989.54224998,0.00024953099433488974,0.024953099433488973,0.00028448580387497755,0.1,0.002495309943348897,1
AAON,-1007,90.08,-90710.56,995606.45,87751259.18000002,0.001011443829035057,0.1011443829035057,0.0010337237419457389,0.1,0.01011443829035057,1
AAP,-1334,48.71,-64979.14,1956296.35,87189399.9995,0.0006819007764339998,0.06819007764339999,0.000745264217902321,0.1,0.006819007764339998,1
AAPL,282,270.01,76142.81999999999,53804632.1,13861444668.2585,5.2411844295465404e-06,0.000524118442954654,5.493137390964768e-06,0.1,5.24118442954654e-05,1
AAT,116,18.03,2091.48,497519.45,9065648.992500003,0.00023315671377269773,0.023315671377269774,0.00023070383617656916,0.1,0.002331567137726977,1
ABBV,1849,225.64,417208.36,7406999.85,1636156530.1855,0.0002496287346353868,0.024962873463538683,0.0002549929375966851,0.1,0.002496287346353868,1
ABCB,-4590,79.89,-366695.1,527922.1,42182535.563,0.008694464581043303,0.8694464581043303,0.00869305495996886,0.1,0.08694464581043303,1
ABEO,11262,5.17,58224.54,1273774.25,6592047.670999999,0.00884144109523332,0.884144109523332,0.00883254231551506,0.1,0.0884144109523332,1
ABG,70,235.77,16503.9,164319.75,40059557.0065,0.00042599870070396287,0.042599870070396284,0.0004119840865270204,0.1,0.004259987007039628,1
ABM,4419,46.37,204909.03,710947.0,31979493.18549999,0.006215653206216497,0.6215653206216497,0.00640751336524961,0.1,0.06215653206216497,1
ABNB,-3516,131.31,-461685.96,4027036.0,540015644.0775001,0.0008730987257129064,0.08730987257129064,0.0008549492316814091,0.1,0.008730987257129064,1
ABR,-90,7.47,-672.3,3844686.95,30255164.813000005,2.340892800127719e-05,0.002340892800127719,2.2220999427877084e-05,0.1,0.00023408928001277188,1
ABT,5273,109.41,576918.9299999999,12256501.9,1396420809.1815,0.00043022063252811147,0.043022063252811146,0.0004131411722073635,0.1,0.004302206325281115,1
ACA,49,116.38,5702.62,213602.85,24122789.532,0.00022939768827990825,0.022939768827990824,0.00023639969135556273,0.1,0.002293976882799082,1
ACAD,115,26.13,3004.95,1248220.35,33080010.8755,9.213116898791146e-05,0.009213116898791146,9.083884558893997e-05,0.1,0.0009213116898791146,1
ACGL,3664,96.71,354345.44,2336751.1,217364240.60950002,0.0015679889912109167,0.15679889912109168,0.001630191971809153,0.1,0.015679889912109165,1
ACHC,-1667,13.21,-22021.07,3795982.5,52114659.583000004,0.0004391484944938497,0.04391484944938497,0.0004225503951518347,0.1,0.0043914849449384966,1
ACHR,-2320,7.05,-16356.0,44478230.6,376520288.98700005,5.216034830306401e-05,0.005216034830306401,4.343989016901216e-05,0.1,0.00052160348303064,1
ACI,-3245,16.86,-54710.7,10024205.5,169410018.86350003,0.00032371642819972117,0.03237164281997212,0.0003229484322534811,0.1,0.0032371642819972114,1
ACIW,3630,43.45,157723.5,695402.1,30912221.694,0.005220001492661584,0.5220001492661585,0.005102302304936362,0.1,0.05220001492661584,1
ACLS,-173,88.81,-15364.130000000001,565635.4,52109434.36175001,0.0003058507299932076,0.030585072999320763,0.0002948435381842825,0.1,0.003058507299932076,1
ACLX,3192,69.47,221748.24,935520.95,63314406.89249998,0.0034120026921898436,0.34120026921898433,0.003502334632566345,0.1,0.03412002692189843,1
ACM,1369,96.81,132532.89,1320962.95,129317945.52599998,0.0010363651758741605,0.10363651758741606,0.001024860775980652,0.1,0.010363651758741604,1
ACMR,8,61.12,488.96,1575507.9,82579960.6485,5.0777276331016815e-06,0.0005077727633101682,5.921049079706501e-06,0.1,5.077727633101681e-05,1
